"","Year","Predator","WEP_age","M_t","M_N"
"266",2013,"WEP","1",61020.33,877990361.769784
"267",2013,"WEP","2",1771.05,6838042.34749035
"268",2013,"WEP","3+",0,0
"269",2015,"WEP","0",69.19,6232886.84684685
"270",2015,"WEP","1",47.51,683528.460431655
"271",2015,"WEP","2",0.32,1253.81081081081
"272",2015,"WEP","3+",0,0
"273",2017,"WEP","0",67471.23,6078489133.87387
"274",2017,"WEP","1",24174.15,347829444.935252
"275",2017,"WEP","2",39.57,152778.926640927
"276",2017,"WEP","3+",0,0
"277",2019,"WEP","0",8810.69,793756139.189189
"278",2019,"WEP","1",1964.53,28266656.9352518
"279",2019,"WEP","2",0.71,2741.4749034749
"280",2019,"WEP","3+",0,0
